,City,State,Latitude,Longitude
490,West Palm Beach,FL,,
492,Orland,CA,,
493,West Fargo,ND,,
494,Lake Charles,LA,,
496,Erie (area),PA,,
497,Phelps,WI,,
498,St. Louis (MO)/Columbia (IL),MO,,
499,Spokane,WA,,
500,Scottsdale,AZ,,
501,Union,MO,,
502,Jacksonville,FL,,
503,Mesa,AZ,,
504,Erath,LA,,
505,Patoka,IL,,
506,Rockford,IL,,
507,Clovis,CA,,
508,Omaha,NE,,
509,New York City (Brooklyn),NY,,
510,Billings,MT,,
512,Rockford,IL,,
513,Appleton,WI,,
514,Hubbard,OR,,
515,Fairbanks,AK,,
516,Honolulu,HI,,
517,Petrified Forest National Park,AZ,,
518,Petrified Forest National Park,AZ,,
519,Tucson,AZ,,
520,Columbia,MO,,
521,Duluth,GA,,
523,Elk Grove,CA,,
524,Flagstaff,AZ,,
525,New York City (Bronx),NY,,
526,Cottage Grove,OR,,
527,Lynn,AL,,
528,Flagstaff,AZ,,
529,Westborough,MA,,
530,Gilbert,AZ,,
531,Sioux Falls,SD,,
532,Charleston,SC,,
533,Sedona,AZ,,
534,San Antonio,TX,,
535,Houston,TX,,
536,Sterling,CO,,
537,Coram,NY,,
538,Palm Springs (outside of),CA,,
539,Lenzburg,IL,,
541,Grand Rapids,MI,,
542,Great Falls,MT,,
543,Aztec (northwest of),NM,,
544,Sedona,AZ,,
547,Greers Ferry,GA,,
548,Sunflower,AZ,,
549,Schuyler County area,IL,,
550,Springfield (??) (Schuyler County),IL,,
551,Perris,CA,,
552,Cortez,CO,,
553,Del Mar (Rancho Sante Fe),CA,,
554,Chicago,IL,,
555,Schuyler County,IL,,
556,Victor,NY,,
557,Benedicta,ME,,
558,Wolsey,SD,,
559,New Rochelle,NY,,
560,Anderson,CA,,
561,Los Angeles,CA,,
562,Winter Haven,FL,,
563,Otisville,MI,,
564,Saucier,MS,,
565,Denver,CO,,
567,Red Shirt (near),SD,,
568,Centerville,OH,,
569,Westlake,LA,,
570,Ewa Beach,HI,,
571,Hollister,CA,,
572,Bedford,NY,,
573,Buffalo,NY,,
574,Sycamore,OH,,
575,Lincoln,NE,,
577,Bennington,VT,,
578,West Gardiner,ME,,
579,Springboro,PA,,
580,Auburn,WA,,
584,Las Vegas,NV,,
585,Indianapolis,IN,,
586,Cranston,RI,,
587,Stranger,KS,,
588,Salida,CA,,
589,Clifton,NJ,,
590,Monroe,NY,,
591,Seattle,WA,,
592,Millville,NJ,,
594,Cape May Court House,NJ,,
596,Caarthage,MS,,
597,Gallon (general area),OH,,
598,Dayton (Wright-Patterson AFB),OH,,
599,Casper,WY,,
601,Orofino/Weippe,ID,,
603,Ely (Boundary Waters CA),MN,,
607,Buckley,WA,,
608,Santa Fe,NM,,
609,Cary,NC,,
611,Macon,GA,,
612,Albuquerque,NM,,
613,Milledgeville,GA,,
614,San Francisco,CA,,
615,San Pedro,CA,,
616,Auburn,WA,,
617,Joshua Tree National Park,CA,,
618,Lubbock,TX,,
619,Sturgeon Bay,WI,,
620,Milwaukee,WI,,
621,Glendale,AZ,,
622,Deming,NM,,
623,South Padre Island,TX,,
625,Longbranch,NJ,,
626,Lake City,CA,,
628,Issaquah,WA,,
629,Loves Park,IL,,
630,Los Angeles,CA,,
631,Vernal,UT,,
632,Sayreville (near),NJ,,
633,Miami,FL,,
635,Portland,OR,,
636,Casa,AR,,
637,Frederick,MD,,
638,Highland Park,IL,,
639,Dawsonville,GA,,
640,Pacific City,OR,,
641,Mount Pleasant,SC,,
643,Palmyra,NY,,
644,Sewell,NJ,,
645,Stockton,CA,,
646,Bellingham,WA,,
647,Waco,TX,,
648,Ogden,UT,,
649,Austin,TX,,
650,Naugatuck,CT,,
651,"Tylertown, MS/Memphis,TN",MS,,
652,Indianapolis,IN,,
653,Santa Rosa,CA,,
654,New York City (Brooklyn),NY,,
655,New York City (Brooklyn),NY,,
656,Yorba Linda,CA,,
657,Mackinaw (20 min south of; on hwy 75),MI,,
658,Wapakoneta (near),OH,,
659,Burke,VA,,
660,Beaumont,TX,,
661,Derby,KS,,
662,Wallingford,CT,,
663,Fresno,CA,,
665,Marathon Key,FL,,
666,Campo,CA,,
667,Los Angeles,CA,,
668,Turkey,TX,,
669,Canoga Park,CA,,
670,North Texas,TX,,
671,Louisville,KY,,
672,San Jose,CA,,
675,San Francisco,CA,,
677,Harrington,WA,,
678,Duncan,OK,,
679,Anoka,MN,,
680,Eldorado,AR,,
681,Holts Summit,MO,,
682,South Bend,IN,,
683,Sedona,AZ,,
684,Sugar Creek,MO,,
685,Union,MO,,
687,Pottsboro,TX,,
688,Sipsey,AL,,
689,Boise,ID,,
690,Fairview,MI,,
691,Munhall,PA,,
692,Nolensville,TN,,
693,McKinney,TX,,
694,Greensboro,NC,,
695,Portland,OR,,
696,Commerce City to Henderson,CO,,
697,Mt. Kisco,NY,,
698,Nassau Bay,TX,,
699,Clear Lake,TX,,
700,Pratt,KS,,
701,Forest Hills,NY,,
702,Whittier,CA,,
703,Port Orchard,WA,,
704,Waterville Valley,NH,,
705,Cocoa Beach,FL,,
707,Wheaton,MD,,
708,Madera,CA,,
711,Forest lake,MN,,
712,Albuquerque,NM,,
713,Sidney,TX,,
714,Hartford,ME,,
715,Jackson,TN,,
716,Syracuse,NY,,
717,Roseville,CA,,
718,South Roxana,PA,,
719,Garland,TX,,
721,Berthoud Pass,CO,,
722,Mansfield,TX,,
723,Kea'au,HI,,
725,Orlando,FL,,
726,Pioneer,TN,,
727,Savoonga,AK,,
728,Marshfield,WI,,
729,Mankato,MN,,
731,Independence,KS,,
732,Chicago,IL,,
733,Tunica,MS,,
734,Princeton,WV,,
735,Rockford,IL,,
736,Miramar,FL,,
738,Oceanside,CA,,
739,,CO,,
741,Sacramento,CA,,
742,Bowmansville,PA,,
743,Columbus,GA,,
744,Mesa,AZ,,
745,Sandy City,UT,,
746,Rio Dell,CA,,
747,Wichita,KS,,
748,New Rochelle,NY,,
750,Castle Creek,NY,,
751,Baldwin/Jacksonville,MD,,
752,Okmulgee,OK,,
754,Mantorville,MN,,
755,Bellevue,WA,,
756,Palmer,AK,,
757,San Jose,CA,,
758,Orlando & Daytona (between),FL,,
760,Frontenac,MN,,
761,Sun City,AZ,,
762,Redding,CA,,
763,Salt Lake City,UT,,
764,Timbo,AR,,
765,West Middlesex,PA,,
767,Clarion,PA,,
768,Indialantic,FL,,
769,Edwardsville,IL,,
770,Amherst,VA,,
771,Albuquerque,NM,,
773,Phoenix,AZ,,
775,Hamilton,AL,,
776,McLouth,KS,,
777,Salt Lake City,UT,,
778,Princeton,WV,,
779,Hanford Nuclear Reservation,WA,,
780,Soap Lake,WA,,
781,Woodland,WA,,
782,Port Angeles,WA,,
783,Alton,NH,,
784,Meriden,CT,,
785,Waynesburg,OH,,
786,Luxemburg,WI,,
787,Murphy,NC,,
788,Ashland,KY,,
789,Denver,CO,,
790,Roanoke,VA,,
791,Dania Beach (fishing pier),FL,,
792,Joliet,IL,,
793,Warrensburg,MO,,
795,New York City (Manhattan),NY,,
796,Franklin,NY,,
799,Phelan,CA,,
800,Santa Cruz,CA,,
801,Noble,OK,,
802,Henderson,NV,,
804,Palm Springs/Blythe (between),AZ,,
805,Pine Bush,NY,,
806,Minnesota (unspecified location),MN,,
808,Crestline,TN,,
812,Howland,OH,,
813,Garden Grove,CA,,
814,Atlantic Highlands,NJ,,
815,Delray Beach,FL,,
818,Parrish,FL,,
819,Nevada desert (rural; unspecified by witness),NV,,
820,Florahome,FL,,
821,Enon,OH,,
823,Lafollette,TN,,
824,Santa Rosa,CA,,
825,UNKNOWN,PA,,
826,Dalton,GA,,
827,San Antonio,TX,,
828,Harlowton,MT,,
829,Tucson,AZ,,
830,Myrtle Beach,SC,,
831,Cutler,CA,,
832,Littleton,CO,,
833,Florence,SC,,
834,Follansbee,WV,,
836,Springfield,SD,,
837,Provo,UT,,
838,Lancaster,CA,,
839,Hilton Head,NC,,
840,Coulterville,CA,,
841,Various,CA,,
842,Jackson,GA,,
843,Shirley,AR,,
844,Charlotte,NC,,
845,Lake in the Hills,IL,,
846,East Prospect,PA,,
847,Spring Valley,NV,,
848,San Marcos,TX,,
849,Glastonbury,CT,,
850,Gobles,MI,,
851,Glastonbury,CT,,
852,Somersworth,NH,,
853,Marlboro,NJ,,
854,Marlboro Township,NJ,,
855,Harrison,MI,,
857,Boone,NC,,
858,Hamlin,NY,,
859,El Paso,TX,,
860,Warner Springs,CA,,
861,Oklahoma City,OK,,
862,Wilmington,CA,,
863,Ainsworth,NE,,
864,Wilkes-Barre,PA,,
865,Joshua Tree,CA,,
866,Cleveland,TX,,
868,West Chester,OH,,
869,Spring Valley,CA,,
870,North Bend,OR,,
872,San Jose,CA,,
875,Doniphan,MO,,
876,Hallandale,FL,,
877,Knife River,MN,,
878,Burlington,NJ,,
879,Glastonbury,CT,,
880,Denver,CO,,
882,Seaside Heights,NJ,,
884,Enosburg Falls,VT,,
885,Lawton,OK,,
886,Lancaster,OH,,
887,Jupiter,FL,,
889,Nampa,ID,,
890,Cottage Grove,OR,,
891,Federal Way,WA,,
892,Ashburn,VA,,
893,Vail,CO,,
894,Louisville,KY,,
895,Hanford,CA,,
896,Benton,LA,,
897,Richmond,VA,,
898,Fulton County (southern location in),GA,,
899,Madison,MS,,
900,Topaz Lake,NV,,
901,Chatfield,TX,,
902,Renton,WA,,
903,Middleboro,MA,,
904,Lakewood,CO,,
905,Arroyo Grande,CA,,
906,Wilmington,OH,,
907,Blackwood,NJ,,
908,Tulsa,OK,,
909,Gladstone,MI,,
911,Traverse City,MI,,
912,Berne,NY,,
913,Chicago,IL,,
914,Bordentown,NJ,,
915,Blackshear,GA,,
916,Big Sur,CA,,
917,Sacramento,CA,,
918,Boise,ID,,
919,Los Angeles,CA,,
920,Mesa,AZ,,
921,Nashville,TN,,
922,Commack,NY,,
923,New York City,NY,,
924,New York,NY,,
925,"Washington, D.C.",DC,,
926,Monticello,WI,,
927,New York,NY,,
928,Hawley,MN,,
929,New York City (Brooklyn),NY,,
931,McMinnville,OR,,
932,Highlands Ranch,CO,,
933,Salt Lake City,UT,,
934,Austin,TX,,
935,San Diego,CA,,
936,Guntersville,AL,,
937,Winter Springs,FL,,
939,West Sedona,AZ,,
940,Gig Harbor,WA,,
941,Philadelphia,PA,,
942,Athens,GA,,
943,Glendora,CA,,
944,Roswell,NM,,
945,Glendora,CA,,
946,Monterey,CA,,
947,Johnstown,PA,,
948,Syracuse,NY,,
949,Reedsburg,OH,,
950,Amherst,VA,,
952,Las Vegas,NV,,
953,Petit Jean Mountain,AR,,
954,Mt. Olive,WV,,
955,Valdese,NC,,
956,Atlanta,GA,,
957,Newport,NC,,
958,Miami,FL,,
959,Miami,FL,,
961,Richmond,KY,,
962,Key West,FL,,
963,Enid,OK,,
964,Shiner,TX,,
966,Cross River,NY,,
968,Natchitoches/Alexandria (between),LA,,
970,Phoenix,AZ,,
973,Rock Springs,TX,,
974,Jewett,NY,,
975,New York City,NY,,
976,Baltimore,MD,,
977,Great Falls,MT,,
979,Burlington,WI,,
981,Macon,GA,,
982,St. Charles,MO,,
983,Cordova,AK,,
985,Falcon,TX,,
986,Sierra Vista,AZ,,
988,El Paso (outside),TX,,
990,Fayetteville,NC,,
991,Union,MI,,
992,Hyattsville,MD,,
993,Paintsville,KY,,
994,Paintsville,KY,,
995,San Antonio,TX,,
997,Springfield,OR,,
999,Central City,NE,,
1000,Santa Monica Mountains,CA,,
1001,Hollywood,FL,,
1002,Ceres,CA,,
1003,Cape Coral,FL,,
1004,University Park,PA,,
1006,Beloit/Milwaukee (between),WI,,
1007,Eagle Point,OR,,
1008,Cornwallville,NY,,
1010,Martinsville,IL,,
1011,Avila Beach (Diablo Canyon Nucular power Plant),CA,,
1012,Colorado,CO,,
1013,Sherman,TX,,
1014,Lacey,WA,,
1015,Eastchester,NY,,
1016,Eastchester,NY,,
1017,Clear Lake,CA,,
1018,Rialto,CA,,
1019,Aberdeen,MD,,
1021,St. Charles,IL,,
1022,Lakeside,CA,,
1023,Lyndhurst,NJ,,
1024,Tucson,AZ,,
1025,Oxford,NC,,
1026,Midland,TX,,
1027,Azle,TX,,
1028,New Albany,IN,,
1029,South Elgin,IL,,
1030,Santa Fe,NM,,
1031,Jacksonville,FL,,
1032,Flora Vista (north of; Hwy. 574),NM,,
1033,Aquasco,MD,,
1034,Round Rock,TX,,
1035,Butte,MT,,
1036,New York City (Brooklyn),NY,,
1037,Lisbon,CT,,
1038,Salem,IL,,
1040,Florissant,CO,,
1041,Clarkston,WA,,
1042,Gillette,WY,,
1044,Iron Mountian,MI,,
1045,Glendale,AZ,,
1046,Layton,UT,,
1047,Honolulu,HI,,
1048,Lansdale,PA,,
1050,Sun Valley,NV,,
1051,Thousand Palms,CA,,
1052,Huntington (near),WV,,
1055,Hastings,NE,,
1056,Lakeside,CA,,
1059,Largo,FL,,
1061,Hoffman Estates,IL,,
1062,Dripping Springs,AZ,,
1063,Tampa,FL,,
1064,Flathead Lake,MT,,
1065,Pocatello (south of),ID,,
1066,Ansted,WV,,
1067,Martinez,GA,,
1068,Salem,AR,,
1069,Moultonboro,NH,,
1070,Kettering,OH,,
1071,Detroit,MI,,
1072,Logan,WV,,
1073,Olympia,WA,,
1074,Lake Powell,UT,,
1075,Dale,TX,,
1076,Piqua,OH,,
1077,Nickelville,MO,,
1078,Oak Creek,WI,,
1079,Frankfort,IN,,
1080,Carrollton,VA,,
1081,Philadelphia,PA,,
1082,Tulsa,OK,,
1083,Midland,TX,,
1085,Lorane,OR,,
1086,Clay Center,KS,,
1087,Wascott,WI,,
1088,Ocean City,MD,,
1089,Bakersfield,CA,,
1090,Hayward/Castro Valley,CA,,
1092,Rio Rancho,NM,,
1093,New York City (Brooklyn),NY,,
1094,Bradenton,FL,,
1095,Fairlawn,OH,,
1096,Waldorf,MD,,
1097,Spring Hill,FL,,
1098,Dorrington,CA,,
1099,Pinckney,MI,,
1101,Cold Spring,NY,,
1103,Bethel,NC,,
1104,Fowlerville,MI,,
1105,Franklin County,MO,,
1106,Moxee,WA,,
1107,North Myrtle Beach,SC,,
1108,Portland,OR,,
1109,Indianapolis,IN,,
1110,Pocatello,ID,,
1111,Tucson,AZ,,
1112,Corvallis,OR,,
1113,Mount Prospect,IL,,
1114,Hercules,CA,,
1115,Pembroke Pines,FL,,
1116,Waterbury,CT,,
1117,Eagle Butte,SD,,
1118,Currie,MN,,
1119,Topeka,KS,,
1120,Newport News,VA,,
1121,North Java,NY,,
1122,Brigantine,NJ,,
1123,Stephens,AR,,
1125,Canton,GA,,
1126,Twin Falls,ID,,
1127,Eastport,ME,,
1128,Cambridge City,IN,,
1129,St. Peters,MO,,
1130,Ocean City,MD,,
1131,Leeds,ME,,
1132,Tauton/Berkley,MA,,
1133,Concord,CA,,
1134,San Diego,CA,,
1135,Methuen,MA,,
1136,Grand Rapids,MI,,
1137,Barberton,OH,,
1138,Staunton,VA,,
1139,Whittier,CA,,
1140,Bowleys Quarters,MD,,
1142,Camarillo,CA,,
1143,Dallas,TX,,
1144,"Washington, D.C. to Kansas City",DC,,
1146,Burbank,IL,,
1147,Monett,AR,,
1148,Ashe,NC,,
1149,Burbank,IL,,
1150,Bloomfield,NM,,
1151,Burbank,IL,,
1152,Johnston,IA,,
1153,Lyndeborough,NH,,
1154,Mahopac,NY,,
1155,Loris,SC,,
1156,Sheboygan,WI,,
1157,Houston,TX,,
1158,Spokane,WA,,
1159,Des moines,IA,,
1160,Lake Villa,IL,,
1161,Oracle,AZ,,
1162,Shepherdstown,WV,,
1163,San Diego,TX,,
1165,Avon Lake,OH,,
1166,"Summit Lake Exit, Hwy 42",OR,,
1167,Buford,GA,,
1168,Orange Beach,AL,,
1170,Burbank,CA,,
1171,Manassas,VA,,
1172,Kotzebue,AK,,
1173,Monroe,GA,,
1174,San Luis Obisbo,CA,,
1175,Heltonville,IN,,
1176,Paris,TX,,
1178,Fayette,MS,,
1180,Duluth,MN,,
1181,Riverton,UT,,
1182,Staten Island,NY,,
1183,Winslow,AZ,,
1184,Kingston,NY,,
1185,Monroe,WI,,
1186,Natrona Heights/New Kensington,PA,,
1187,Nebraska City,NE,,
1189,Augusta,ME,,
1190,Baton Rouge,LA,,
1191,Tucson,AZ,,
1192,Tucson,AZ,,
1194,Columbia,MD,,
1195,Dallas,TX,,
1196,Readstown,WI,,
1197,Sedona,AZ,,
1198,Hebron,ND,,
1199,Fullerton,CA,,
1200,Monterey,TN,,
1201,Woodbridge,VA,,
1203,Maylene,AL,,
1204,Columbus,OH,,
